Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
1,-66.0,-45.0,22.0,5.307532017342679,6300
1a,-66.0,-33.0,18.0,4.668929260407372,
1b,-48.0,-36.0,14.0,4.5343762843371405,
1c,-57.0,-48.0,10.0,4.25421011323503,
2,-42.0,15.0,26.0,4.918702883232828,2520
2a,-51.0,9.0,34.0,4.71584462738508,
2b,-42.0,9.0,30.0,4.683343411999975,
2c,-57.0,12.0,38.0,4.587956131508176,
3,57.0,-27.0,2.0,4.692869362374184,504
3a,66.0,-27.0,2.0,3.664249618695592,
4,42.0,9.0,34.0,4.461193214838035,540
5,6.0,18.0,34.0,4.257985816435082,2520
5a,-3.0,15.0,46.0,4.07839004761403,
5b,0.0,0.0,38.0,3.8156086189135094,
5c,3.0,9.0,50.0,3.7983865289295142,
6,6.0,6.0,54.0,4.208104615108647,468
6a,6.0,3.0,62.0,3.348351460826919,
7,-45.0,21.0,2.0,4.190472189789601,504
7a,-54.0,21.0,6.0,3.385929447367868,
8,45.0,-21.0,42.0,4.163956250386366,432
9,63.0,-24.0,30.0,4.079389419672202,360
10,-12.0,6.0,6.0,4.056164687297192,792
10a,-9.0,-3.0,10.0,3.726485856020925,
10b,-9.0,6.0,14.0,3.7105531764196953,
11,-27.0,45.0,18.0,4.0437236386577045,432
12,3.0,-24.0,30.0,3.950053630590429,360
13,12.0,-72.0,22.0,3.9372831999223825,360
14,33.0,42.0,34.0,3.9062744071358666,756
14a,30.0,45.0,26.0,3.882905545531423,
15,51.0,-30.0,14.0,3.7762925865080357,648
